Model,Min,Max,Median,Mean,10th percentile,90th percentile,Max density
4-0,0.0,0.89419795221843,0.6802325581395349,0.6309695975451289,0.38088296579418623,0.8319298245614035,0.7535070140280561
1-0,0.0,0.8991596638655462,0.6684310018903592,0.6020927513567844,0.3035859662725335,0.836772658446896,0.7655310621242485
1-1,0.0,0.9183673469387755,0.6290322580645161,0.5864554828441181,0.25458825693135323,0.8225146886016452,0.7374749498997996
1-2,0.0,0.8958333333333334,0.6588235294117647,0.5912141619479434,0.2720205305192363,0.8469420522551453,0.7354709418837675
1-4,0.0,0.8943661971830986,0.649746192893401,0.5863640303225348,0.2240128558310377,0.8160541864822021,0.7555110220440882
1-8,0.0,0.9364548494983278,0.6637931034482759,0.5790354931643162,0.15939364618609905,0.8678881388621023,0.721442885771543
1-16,0.0,0.8709677419354839,0.6108726752503576,0.50694614145314,0.0,0.8077294685990338,0.6773547094188376
1-32,0.0,0.9477124183006536,0.6581196581196581,0.581585724233249,0.2059711332717468,0.8488045585992818,0.7374749498997996
1-64,0.0,0.9308176100628931,0.6052009456264775,0.5674837637468241,0.12312056737588656,0.8391769974686831,0.7374749498997996
1-128,0.0,0.9263803680981595,0.6202898550724638,0.589963153741384,0.33193256670760296,0.8250306748466257,0.6613226452905812
1-256,0.0,0.8961038961038961,0.5932721712538226,0.5314929118216136,0.10028766022251367,0.7983362507828936,0.6853707414829658
